label,product_id,store_id,title_text,body_text,price_krw,title_len,sort_hour,sort_dayofweek,has_profile_image,store_name_len,seller_review_count,has_activity_snapshot,posts_last_1h,posts_last_6h,posts_last_24h,posts_last_7d,visible_product_count,has_default_profile_image,activity_review_count,safe_trade_count,trust_score,reliability_score,activity_score,notified_score,visit_today_count,visit_total_count,has_profile_snapshot,profile_review_count,profile_safe_trade_count,profile_trust_score,profile_reliability_score,profile_activity_score,profile_notified_score,profile_visit_today_count,profile_visit_total_count,profile_is_official_account,has_seller_history,seller_search_result_count_before,seller_search_result_count_7d,seller_seen_product_count_before,seller_seen_product_count_24h,seller_seen_product_count_7d,seller_history_age_hours,seller_avg_price_7d,seller_min_price_7d,seller_max_price_7d,seller_product_snapshot_count_before,seller_product_snapshot_count_7d,seller_price_change_count_7d,seller_content_change_count_7d,seller_alert_count_before,seller_alert_count_30d,seller_alert_product_count_30d,seller_store_name_change_count_before,seller_store_name_change_count_30d,drop_rate_percent,risk_score,risk_level,trade_type,is_exchange_post,risk_keyword_count
1,230876394,11867690,맥미니 m4 램24gb ssd256gb 판매합니다,맥미니 m4 24gb 256gb 판매합니다  정상작동하고   외관에 문제없습니다    본체 전원케이불만 있습니다  무상 as 기간 만료되었습니다  2차 구매자인데 맥 스튜디오로 기변하려고 판매합니다    네고문자 답변드리지 않습니다,800000,27,20,4,1,4,0,1,,,,,,,,,,,,,,,1,0,0,213,123,90,200,2,2,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,18.37,90,high,exchange,1,2
0,230804868,1005026,급처 맥미니 M4 32G 512G + 10기가 이더넷 + 애케플,"이제 구매 못하는 사양입니다  M4  32 램  512 SSD   10기가 이더넷 (옵션가 +170,000)  애케플 (옵션가 +159,000)  SSD 순정 512G 입니다   10기가 이더넷, 애케플 추가 되었습니다  애케플 28년 9월 까지이고 풀박스 입니다  분당선 모란역 근처에서 직거래 하고  선입금 노리턴 조건으로 택배 가능합니다  네고 문의는 답장 안드립니다",2450000,35,18,2,1,4,0,1,0,0,1,1,1,1,0,0,443,313,130,400,0,161,1,0,0,443,313,130,400,0,161,0,1,18,0,1,0,0,1049,,,,13,0,0,0,0,0,0,1,0,,,unknown,unknown,0,0
0,230879167,2037129,"﻿맥북 에어 13 M2 (RAM 16GB, SSD 256GB)","맥북 에어 13 M2 (RAM 16GB, SSD 256GB) - 실버 / 사이클 횟수 61회 / 성능 최대치 98% / 풀박스",900000,34,21,4,1,9,11,1,,,,,,,,,,,,,,,1,11,22,669,489,180,600,1,192,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0.00,0,none,sale,0,0
0,230879720,11967540,[미개봉] 맥북에어 15인치 / M5 / 실버 / 16GB / 1TB,"Apple 맥북 에어 15 M5 실버 • M5 • 1TB • 16GB • MAC OS 한글자판  미개봉, 새제품  공홈가 300만원 인터넷 최저가 약260만원  맥북 프로로 기변하려고 내놓습니다 고가의 제품이므로 되도록 직거래 원합니다 (응암동)  감사합니다",2450000,38,22,4,1,5,0,1,1,1,1,1,1,1,0,0,465,295,170,400,0,4,1,0,0,465,295,170,400,0,4,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,unknown,unknown,0,0
0,230880128,10004651,M4 맥미니 16/256,"M4 맥미니 판매합니다. 사양음 16기가 램에 256 SSD입니다. 2024년형이고 사무실에서만 써서 외관, 기능 이상 없고 풀박스입니다. 직거래는 안산 사동에서 가능합니다.",1000000,13,22,4,1,13,1,1,1,1,1,1,1,1,1,0,558,398,160,400,0,3,1,1,0,558,398,160,400,0,3,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,unknown,unknown,0,0
1,230881065,10040012,맥북에어13 M4 실버 16GB • 512GB 풀박 + 키스킨,약 7개월 전 구매했으나 거의 사용하지 않고 집에만 두어 판매합니다    제품은 맥북에어 13인치 M4 실버 색상으로 16GB 메모리에 512GB 저장공간 옵션입니다    배터리 성능 최대치는 100%이며 충전 사이클은 5회라 실사용이 거의 없는 최상급 상태입니다    외관 기스나 하자는 전혀 없으며 기본 박스와 정품 충전기 구성에 추가로 함께 사용하던 키스킨까지 드립니다 채팅주세요,1100000,34,22,4,1,13,0,1,,,,,,,,,,,,,,,1,0,0,188,128,60,0,5,5,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,16.67,90,high,sale,0,2
1,230881367,9461748,맥북에어 13인치 M5 풀박스 실버,"512gb, 램 16기가 실버 기본형 입니다.    스코코 상판, 하판, 액정, 트랙패드 주변 보호필름 부착해 두었고,    3월 29일 구매하고, 잠깐 사용하고 바로 프로로 재구매 하여 박스 보관 중 입니다.    기본 사양이 워낙 좋아졌고, 가벼워서 휴대성은 최고 이지만, 기존에 max칩 맥을 사용하다 기본을 쓰니 조금 아쉬워서 바로 업글 한 것 입니다. 파컷 4k 편집과 랜더링 속도는 확실히 이가격이 맞나 의심될 정도로 좋습니다.    마지막 가격 떨어트려보고 안팔리면 그냥 서브용으로 사용할 거라 네고 문의는 받지 않습니다.    * m4 pro 맥미니 기본형과 1:1교환 가능하고, 일반 m4맥미니 사양에 따라 대품가격 협의 가능 합니다.",1200000,19,23,4,1,12,0,1,1,1,1,1,1,1,0,0,217,127,90,0,3,3,1,0,0,217,127,90,0,7,7,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,unknown,unknown,0,0
1,230881386,12348676,맥북에어 13M3 16/512GB 미드나이트 판매,2024년형 맥북에어 13 m3 미드나이트 판매 사용감이 적고 사무실에서는 회사 노트북을  사용하기에 판매하게 되었습니다.기 배터리 100% 사이클 수 57회 현재는 초기화후 포장되어있습니다.  진주 초전동입니다. 직거래나 택배거래만 원해요. 다른문의는 답변하지않습니다.,800000,27,23,4,1,10,1,1,,,,,,,,,,,,,,,1,1,0,230,170,60,200,1,1,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,31.62,30,medium,sale,0,1
1,230881854,9461748,맥 미니 M4 Pro (12Core / 16Core / 24GB / 512GB),-풀박스입니다 ~  - 24년도 11월 구매 제품입니다.    이동성 필요하여 맥북으로 전환하면서 판매합니다.    CPU(M4 Pro) 12코어 / GPU 16 코어  (RAM: 24GB / SSD: 512GB) 제품입니다.    구성품은 본체 + 전원케이블 + 220v 전환 돼지코입니다. 상태 깔끔하고 사용하시는데에 불편함 없으십니다 연락주세요~~~,1200000,44,23,4,0,12,,1,1,1,1,1,1,1,0,0,217,127,90,0,3,3,1,0,0,217,127,90,0,7,7,0,1,3,3,1,1,1,0,1200000.0000,1200000,1200000,3,3,0,2,0,0,0,1,1,35.14,130,exclude,exchange,1,2
0,230882030,3724203,맥북 미드나잇블루 에어15 m5 램24기가,내일은 강남 나머지는 파주운정에서만 직거래 가능합니다.,2400000,23,23,4,0,5,,1,1,1,2,4,7,0,0,0,452,272,180,400,0,68,1,0,0,452,272,180,400,0,68,0,1,87,6,7,2,4,549,1983333.3333,1950000,1990000,90,7,0,6,0,0,0,2,2,,,unknown,unknown,0,0
1,230882907,11867690,맥미니 m4 램24gb ssd256gb 판매합니다,맥미니 m4 24gb 256gb 판매합니다  정상작동하고   외관에 문제없습니다    본체 전원케이불만 있습니다  무상 as 기간 만료되었습니다  2차 구매자인데 맥 스튜디오로 기변하려고 판매합니다    네고문자 답변드리지 않습니다,800000,27,23,4,0,4,,1,1,1,1,1,1,1,0,0,213,123,90,200,10,10,1,0,0,213,123,90,200,12,12,0,1,7,7,1,1,1,3,800000.0000,800000,800000,8,8,0,7,0,0,0,1,1,18.37,90,high,exchange,1,2
0,230883212,7602521,"맥북 에어 M4 실버 13인치 16GB , 512GB (상태최상 / 배터리효율 100)","2025년도 메모리 16GB  10코어   저장공간 512GB 사용은 4개월 정도 입니다  배터리 : 100 사이클 : 8  하자나 기스 , 고장 없어요  상태 최상입니다  화면에 얼룩은 필름 얼룩입니다 다른 노트북으로 바꿀려고 해서 팝니다 투명 케이스랑 키보드필름 같이 드려요 충전기 등 풀박입니다  직거래 장소 대전 둔산동 크로바아파트 앞 택배거래 직거래 다되십니다 안심 안받아용",1200000,48,0,5,0,4,,1,0,1,1,1,1,1,10,0,262,122,140,200,0,5,1,10,0,262,122,140,200,0,5,0,1,9,9,1,1,1,23,1200000.0000,1200000,1200000,10,10,0,9,2,2,1,2,2,9.09,120,exclude,sale,0,2
1,230883759,9864266,애플 맥미니 M4 실버 16GB/256GB (오리코 케이스포함),애플 맥미니 M4 칩 탑재 모델이에요  16GB 메모리와 256GB 저장 공간 사용을 안해서 판매해요 오리코 케이스까지 드려요  거래는 양산 남부동 택배거래도 가능하지만 안심은 안해요 네고문의 답변안해요,800000,35,0,5,1,12,0,1,,,,,,,,,,,,,,,1,0,0,232,122,110,200,0,1,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0.00,10,low,sale,0,1
1,230883945,9908045,맥북 에어 M4 15인치 기본형 풀박스 16/256GB,"맥북 에어 15 M4 기본형 팝니다! 배터리성능 100% 사이클 9회 구매하고 집에서 영상 4~5번? 시청한게 전부 원 포장 상태 그대로 넣었으며 확초기화완료  양산 증산역부근 직거래  택배거래 가능  네고,안심 문의는 X",1050000,30,0,5,1,12,0,1,,,,,,,,,,,,,,,1,0,0,212,122,90,200,0,2,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,22.22,40,medium,sale,0,2
1,230884038,12348676,애플 맥미니 M4 기본형 16/256 풀박스,"애플 맥미니 M4 기본형 16/256 풀박스 판매 현재는 구할수 없는 옵션이구요 데탑형이다 보니 딱히 사용감 같은거 없습니다. 직장에서 사용하다가,  맥os 환경이 맞지 않아 판매하게 되었습니다.  진주 초전동  직거래나 택배거래만 원해요  다른문의 답변안해요",750000,24,0,5,0,10,,1,1,1,1,1,1,1,1,0,230,170,60,200,0,1,1,1,0,230,170,60,200,0,1,0,1,2,2,1,1,1,1,800000.0000,800000,800000,2,2,0,1,0,0,0,1,1,6.25,30,medium,sale,0,1
1,230879126,8140696,애플 맥미니 M4 24G/512GB,상황 상 필요없게되어 싸게 팔아요 상태 매우 좋고 5번 이상 안썻어요 알루미늄케이스 덤으로 드려요 위장용 체고~~,1400000,19,21,4,1,7,0,1,1,1,1,1,1,1,0,0,441,261,180,400,32,124,1,0,0,441,261,180,400,32,124,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,unknown,unknown,0,0
1,230884304,9747672,맥 미니 M4 16GB 512gb 풀박스(오리코 미니독),"애플 맥 미니 M4입니다 16GB, 512SSD 오리코 외장 케이스 포함  진주 가좌동이에요 안심 말고 직거래나 택배만원해요 편하게 문의주세요",700000,31,0,5,1,12,4,1,,,,,,,,,,,,,,,1,4,1,672,412,260,600,3,45,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,30.00,0,none,sale,0,0
1,230884742,11758116,(완전미개봉)애플 맥북에어 13 2025 M4 256GB / 실버,"( 완전 미개봉 ) 2025 MacBook Air 13인치 2025 M4 칩  16GB 메모리 - 256GB 저장 공간 사용하고 있는 맥북이 있어서,  미개봉으로 보관만하다 판매해요  상주 무양동에서 거래 직거래 ok 택배거래 ok 안심은 죄송합니다",1050000,36,1,5,1,7,0,1,,,,,,,,,,,,,,,1,0,0,276,146,130,200,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,12.50,0,none,sale,0,0
1,230884760,11758116,(미개봉) 새제품 애플 맥 미니 M4 256GB,애플 맥 미니 M4 16/256GB 미개봉 새제품입니다  10코어 CPU로 강력한 성능을 제공합니다 8코어 GPU로 그래픽 작업도 문제없습니다  상주 무양,850000,26,1,5,0,7,,1,,,,,,,,,,,,,,,1,0,0,276,146,130,200,0,0,0,1,1,1,1,1,1,0,1050000.0000,1050000,1050000,1,1,0,0,0,0,0,1,1,,,unknown,unknown,0,0
0,230884843,11374601,맥북에어 13 m5 실버 기본형 영문자판 미국판,"맥북에어 13인치 m5 실버 기본형 영문자판 미국판 입니다  집에서만 사용하여 기스나 찍힘 전혀 없습니다  데스크탑으로 넘어가기 위해 판매합니다  직거래 인천 송도, 강남역, 분당 미금 가능합니다 안전거래 가능합니다",1800000,26,1,5,1,7,18,1,1,1,1,1,1,1,18,21,729,579,150,600,0,160,1,18,21,729,579,150,600,0,160,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,unknown,unknown,0,0
0,230559974,11877631,맥북 에어M4 16gb 256gb 미드나이트 풀박스 배터리효율 100,"개봉후 몇번 사용안한 맥북 에어 13인치 미드나이트 색상이에요 M4 칩, 16GB 메모리, 256GB 저장 공간으로 넉넉하게 사용 가능해요 문서 작업이나 영상 편집 등 다양한 작업에 활용하기 좋은 노트북이에요 쿠팡에지금 180만원에 품절이고 구매하시면 원하시면 노트북 케이스 박스 케이블 충전기 모두 다 드립니다 배터리효율 100프로에 싸이클 7입니다 저랑안맞아서 빨리팔아봅니다",1400000,38,20,1,0,9,,1,1,1,1,1,2,1,2,0,637,407,230,600,1,192,1,2,0,637,407,230,600,1,192,0,1,15,0,2,0,0,1088,,,,34,0,0,0,0,0,0,1,1,,,unknown,unknown,0,0
0,230887730,3727482,맥북 에어 M5 13인치 16gb 512 보증 27/3 배터리 100%,맥북 에어 M5 13인치 스카이블루.  코어 10 렘 16gb ssd 512gb 풀박스로 구성품 모두 갖춰져 있습니다. 사진에서 보시는 것처럼 깔끔한 상태를 유지하고 있고 배터리 100% 사이클 4 입니다. 보증 27년 3월까지입니다. 직거래 여의도 혹은 이대쪽 가능합니다 택배거래 하지 않습니다,1750000,39,8,5,0,5,,1,1,1,1,1,2,1,2,2,770,510,260,600,0,106,1,2,2,770,510,260,600,0,106,0,1,5,0,1,0,0,397,,,,6,0,0,0,0,0,0,1,1,,,unknown,unknown,0,0
0,230869563,9245618,맥북에어 2020 m1 8gb 512기가,"2020년형 맥북 에어 M1 칩 모델이에요 8GB 메모리가 탑재되어 있어 문서 작업이나 영상 시청 등 일상적인 작업에 충분해요 깔끔한 디자인과 휴대성으로 어디서든 사용하기 좋아요 문서, 영상 작업 하시는 분들에게 추천드리는 가성비 있는 노트북이에요  엄청 깔끔하게 사용했고 배터리 성능 상태 괜찮아요 터치아이디등 문제 일절 없고 제가 타투할때 전사프린트 연결용이나 넷플 보는용으로 밖에 안썻어요 집에서만 있었어요  그리고 512기가라 용량도 빵빵해요   560,000 네고 안하고 급처 땅겨봅니다 기능 하자 일절 없습니다  최대한 직거래 선호합니다 돈이 급해서요",560000,22,16,4,1,12,1,1,,,,,,,,,,,,,,,1,1,0,414,364,50,400,0,36,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,16.42,110,exclude,sale,0,4
1,230889039,12754846,애플 맥 미니 M2 기본형 풀박스,23년식 맥미니 M2 8GB/256GB SSD 팝니다.  총수량 5개 이고 본체는 초기화 마쳤습니다.    나머지 제품(4개): 각 40만원  5개 일괄구매: 각 35만원    디자인 회사에서 사용하였습니다.  현 작업에 전혀 무리없이 쓸수있고 제품에 하자 없습니다.,400000,18,9,5,0,6,,1,0,0,1,3,3,0,1,0,505,325,180,400,3,104,1,1,0,505,325,180,400,4,105,0,1,26,26,3,2,3,47,607692.3077,400000,760000,29,29,0,26,3,3,3,4,4,16.67,60,high,sale,0,1
0,230859215,1419061,맥북에어 m5 13인치 (부산),"실사용 기간은 한달정도이며 영상시청용으로 썼습니다. 상태는 최상이며 초기화 완료했습니다.  -사자마자 케이스 끼우고 사용하여 매우깨끗합니다. -힐링쉴드 상판 보호필름 부착 (액정x) -풀박스 (충전기 사용x) -16/512 실버 -배터리100  쿨거래연락주세요, 직거래 초량, 부산역  택배시 안전포장, 배송료 포함 우체국으로 보냅니다.",1700000,17,11,4,0,7,,1,4,4,4,4,4,0,8,1,814,514,300,800,0,275,1,8,1,814,514,300,800,0,275,0,1,11,11,3,3,3,25,1723363.6364,1700000,1749000,12,12,5,4,0,0,0,1,1,,,unknown,unknown,0,0
0,230877061,3089825,맥북에어 M1 16gb 스페이스그레이,택배 포장 잘해서 드립니다,550000,20,20,4,1,10,0,1,,,,,,,,,,,,,,,1,0,0,539,279,260,400,4,86,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,21.43,0,none,sale,0,0
1,230882389,10000138,맥북 에어 15 M3 스페이스 그레이 16/256,"애플 맥북 에어 15인치 M3 스페이스 그레이 모델 판매합니다. 메모리는 넉넉한 16GB 옵션입니다.    M3 칩 탑재로 성능이 더욱 강력해졌으며, 얇고 가벼운 디자인 덕분에 휴대성도 뛰어납니다. 거의 사용하지 않아서 새 제품이나 다름없는 깨끗한 상태이며, 배터리 성능 상태도 100%를 유지하고 있습니다.    박스와 정품 충전기를 모두 갖춘 풀박스 구성입니다. 관심 있으신 분은 편하게 연락 주세요!",750000,27,23,4,0,13,,1,1,1,1,2,2,1,0,0,243,183,60,200,3,9,1,0,0,243,183,60,200,3,9,0,1,14,14,2,1,2,36,750000.0000,750000,750000,16,16,0,14,3,3,2,4,4,37.50,130,exclude,sale,0,2
0,230894014,12710891,[삽니다/서울대입구]맥북에어 M4 16GB (256GB/512GB),"맥북에어 M4 제품 램 16, ssd 256 혹은 512 구입합니다. 110은 256가격이고 512는 가격제시해주시면 감사하겠습니다. 색상 무관하며 직거래 선호하고 택배는 안심결제만 받습니다. 직거래는 서울대입구입니다.",1100000,37,12,5,0,8,,1,0,0,0,0,1,1,0,0,434,314,120,400,0,11,1,0,0,434,314,120,400,0,11,0,1,0,0,0,0,0,,,,,0,0,0,0,0,0,0,1,1,,,unknown,unknown,0,0
0,230821775,1419061,맥북에어 m5 새상품급,"실사용 기간은 한달정도이며 영상시청용으로 썼습니다. 상태는 최상이며 초기화 완료했습니다.  -사자마자 케이스 끼우고 사용하여 매우깨끗합니다. -힐링쉴드 상판 보호필름 부착 (액정x) -풀박스 (충전기 사용x) -16/512 실버 -배터리100  쿨거래연락주세요  택배시 안전포장, 배송료 포함 우체국으로 보냅니다.",1749000,12,9,3,1,7,8,1,1,1,1,1,1,0,8,1,814,514,300,800,0,275,1,8,1,814,514,300,800,0,275,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,unknown,unknown,0,0
0,230672787,2910772,(애플케어) 맥북 에어 m2 13인치 8 256,(애플케어) 맥북 에어 m2 13인치 8 256  사무실 정리중입니다. 사진에 보이듯이 전반적인 상태 좋습니다. 모든 기능 이상 없이 정상 작동합니다. 배터리 효율 93% 본체+충전기 구성 애플케어 27.02.11 금액이 있는 만큼 직접 보시고 구매 하셨으면 합니다.  부천 인천 직거래만 합니다. 가격 제안은 정중히 사양합니다.,830000,26,12,5,0,5,,1,3,3,3,4,19,1,25,54,748,488,260,800,1,1365,1,25,54,748,488,260,800,1,1365,0,1,197,5,21,0,3,1235,968000.0000,620000,1500000,218,8,0,7,10,2,1,1,0,,,unknown,unknown,0,0
0,230901957,341928,맥미니 M4 256gb 16gb 미개봉,미개봉 새상품입니다,1350000,21,16,5,1,3,0,1,1,1,1,1,1,1,0,1,655,395,260,600,2,403,1,0,1,655,395,260,600,2,403,0,1,26,0,1,0,0,1178,,,,29,0,0,0,0,0,0,1,0,,,unknown,unknown,0,0
0,230904502,4309503,맥북에어 M4 13인치 16GB 256GB 풀박스 새제품급,새제품급이에요 기스없구요S급 배터리100% 사이클12회 보증 사진처럼 넉넉히 남아있습니다 색상 스타라이트 풀박스 구성품도 깔끔  전체적으로 필름 작업도 다 되어있어요  직거래 금정역근처입니다 122만원에 판매합니다  직거래로 합니다,1220000,32,17,5,1,8,2,1,1,1,1,1,1,0,2,0,526,346,180,400,0,65,1,2,0,526,346,180,400,0,65,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,unknown,unknown,0,0
